source,company,job_id,title,location,description,posting_date,job_url,discard_reason,score,urgency,job_signals_score,company_signals_score,score_breakdown,linkedin_url,company_size,funding_stage
ashby,Modal,af17da5e-23ca-4802-854d-5f0546e1ed32,Member of Technical Staff - ML Performance,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-04-21,https://jobs.ashbyhq.com/modal/af17da5e-23ca-4802-854d-5f0546e1ed32,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,3c5c84c6-141d-44d2-8f33-8eaaf067c774,Security Field Engineer,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-04-21,https://jobs.ashbyhq.com/modal/3c5c84c6-141d-44d2-8f33-8eaaf067c774,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,8de60620-09bf-4905-910f-a290814a29ee,Infrastructure Security Engineer,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-04-21,https://jobs.ashbyhq.com/modal/8de60620-09bf-4905-910f-a290814a29ee,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,89bfd784-071a-4dcc-a5ab-6ba9d5e53dad,Member of Technical Staff - ML Training Systems,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-02-25,https://jobs.ashbyhq.com/modal/89bfd784-071a-4dcc-a5ab-6ba9d5e53dad,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,9fadb51f-ce11-41b1-84d5-470e66cc8ee9,Forward Deployed Engineer - ML,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-02-23,https://jobs.ashbyhq.com/modal/9fadb51f-ce11-41b1-84d5-470e66cc8ee9,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,aa4c345a-66e1-45b7-8c75-b7b4a0662eaa,Systems Engineering Manager,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-02-03,https://jobs.ashbyhq.com/modal/aa4c345a-66e1-45b7-8c75-b7b4a0662eaa,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,84467a68-6876-4730-9d80-6c6f3d0c2d71,Member of Technical Staff - Platform Engineering,New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-01-19,https://jobs.ashbyhq.com/modal/84467a68-6876-4730-9d80-6c6f3d0c2d71,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Modal,a4b8b2b6-5d0c-4ba6-9256-b84be84fb79e,Member of Technical Staff - Product (Backend),New York,"ABOUT US: Modal provides the infrastructure foundation for AI teams. With instant GPU access, sub-second container startups, and native storage, Modal makes it simple to train models, run batch jobs, and serve low-latency inference. We have thousands of customers who rely on us for production AI workloads, including Lovable, Scale AI, Substack, and Suno. We're a fast-growing team based out of NYC, SF, and Stockholm. We've hit 9-figure ARR and recently raised a Series B https://modal.com/blog/ann",2026-01-09,https://jobs.ashbyhq.com/modal/a4b8b2b6-5d0c-4ba6-9256-b84be84fb79e,,82,MEDIUM,45,37,50-500emp(+20) SeriesB(+20) NoTA(+15) 13OpenRoles(+15) NY(+10) NicheStack_AI(+10),https://www.linkedin.com/company/modal/jobs,50–150 (Series B),Series B – $87M (2025)
ashby,Socket,de959cdb-2441-4ce9-a31a-4cc4e50fb8fe,"Sales Engineer, SMB",United States,"About Us Socket helps devs and security teams ship faster by cutting out security busywork. Thousands of orgs use Socket to safely find, audit, and manage open source code. Our customers — from Anthropic to xAI, and Figma to Vercel — love Socket (just check out their tweets https://socket.dev/love to see for yourself!) Founded by Feross Aboukhadijeh https://www.linkedin.com/in/feross/, a long-time open source maintainer with software downloaded over a billion times a month, Socket has raised $ h",2026-05-14,https://jobs.ashbyhq.com/socket/de959cdb-2441-4ce9-a31a-4cc4e50fb8fe,,80,HIGH,42,38,50-500emp(+20) SeriesC(+20) NoTA(+15) 10OpenRoles(+15) NY(+10) NicheStack_Security(+10),https://www.linkedin.com/company/socket/jobs,~100 (Series C),Series C – $60M May 2026
ashby,Socket,e30baac3-a97b-4e09-84af-d406801c04ae,Staff Security Engineer,United States,"About Us Socket helps devs and security teams ship faster by cutting out security busywork. Thousands of orgs use Socket to safely find, audit, and manage open source code. Our customers — from Anthropic to xAI, and Figma to Vercel — love Socket (just check out their tweets https://socket.dev/love to see for yourself!) Founded by Feross Aboukhadijeh https://www.linkedin.com/in/feross/, a long-time open source maintainer with software downloaded over a billion times a month, Socket has raised $ h",2026-03-24,https://jobs.ashbyhq.com/socket/e30baac3-a97b-4e09-84af-d406801c04ae,,80,MEDIUM,42,38,50-500emp(+20) SeriesC(+20) NoTA(+15) 10OpenRoles(+15) NY(+10) NicheStack_Security(+10),https://www.linkedin.com/company/socket/jobs,~100 (Series C),Series C – $60M May 2026
ashby,Socket,8f9f4b7a-5933-4c07-8fec-900fe2e425c6,Senior Platform Engineer,United States,"About Us Socket helps devs and security teams ship faster by cutting out security busywork. Thousands of orgs use Socket to safely find, audit, and manage open source code. Our customers — from Anthropic to xAI, and Figma to Vercel — love Socket (just check out their tweets https://socket.dev/love to see for yourself!) Founded by Feross Aboukhadijeh https://www.linkedin.com/in/feross/, a long-time open source maintainer with software downloaded over a billion times a month, Socket has raised $ h",2026-02-12,https://jobs.ashbyhq.com/socket/8f9f4b7a-5933-4c07-8fec-900fe2e425c6,,80,MEDIUM,42,38,50-500emp(+20) SeriesC(+20) NoTA(+15) 10OpenRoles(+15) NY(+10) NicheStack_Security(+10),https://www.linkedin.com/company/socket/jobs,~100 (Series C),Series C – $60M May 2026
ashby,Socket,a1be82e9-bbe4-44ad-b05a-c03075e47af1,Software Engineer,United States,"About Us Socket helps devs and security teams ship faster by cutting out security busywork. Thousands of orgs use Socket to safely find, audit, and manage open source code. Our customers — from Anthropic to xAI, and Figma to Vercel — love Socket (just check out their tweets https://socket.dev/love to see for yourself!) Founded by Feross Aboukhadijeh https://www.linkedin.com/in/feross/, a long-time open source maintainer with software downloaded over a billion times a month, Socket has raised $ h",2026-01-07,https://jobs.ashbyhq.com/socket/a1be82e9-bbe4-44ad-b05a-c03075e47af1,,80,MEDIUM,42,38,50-500emp(+20) SeriesC(+20) NoTA(+15) 10OpenRoles(+15) NY(+10) NicheStack_Security(+10),https://www.linkedin.com/company/socket/jobs,~100 (Series C),Series C – $60M May 2026
ashby,Socket,f326b732-aad3-40a6-a916-6c63b30c3a7e,Staff Software Engineer,United States,"About Us Socket helps devs and security teams ship faster by cutting out security busywork. Thousands of orgs use Socket to safely find, audit, and manage open source code. Our customers — from Anthropic to xAI, and Figma to Vercel — love Socket (just check out their tweets https://socket.dev/love to see for yourself!) Founded by Feross Aboukhadijeh https://www.linkedin.com/in/feross/, a long-time open source maintainer with software downloaded over a billion times a month, Socket has raised $ h",2026-01-07,https://jobs.ashbyhq.com/socket/f326b732-aad3-40a6-a916-6c63b30c3a7e,,80,MEDIUM,42,38,50-500emp(+20) SeriesC(+20) NoTA(+15) 10OpenRoles(+15) NY(+10) NicheStack_Security(+10),https://www.linkedin.com/company/socket/jobs,~100 (Series C),Series C – $60M May 2026
